にとりまして,327,327,3025,助詞,格助詞,連語,*,*,*,にとりまして,ニトリマシテ,ニトリマシテ
にとり,326,326,3732,助詞,格助詞,連語,*,*,*,にとり,ニトリ,ニトリ
にあたります,307,307,3025,助詞,格助詞,連語,*,*,*,にあたります,ニアタリマス,ニアタリマス
をもって,368,368,3520,助詞,格助詞,連語,*,*,*,をもって,ヲモッテ,ヲモッテ
にかけて,313,313,1055,助詞,格助詞,連語,*,*,*,にかけて,ニカケテ,ニカケテ
につき,320,320,3572,助詞,格助詞,連語,*,*,*,につき,ニツキ,ニツキ
とかいふ,298,298,3004,助詞,格助詞,連語,*,*,*,とかいふ,トカイフ,トカユウ
という,293,293,773,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
にわたって,335,335,2480,助詞,格助詞,連語,*,*,*,にわたって,ニワタッテ,ニワタッテ
にたいして,315,315,2862,助詞,格助詞,連語,*,*,*,にたいして,ニタイシテ,ニタイシテ
に従います,352,352,3025,助詞,格助詞,連語,*,*,*,に従います,ニシタガイマス,ニシタガイマス
をめぐります,365,365,3025,助詞,格助詞,連語,*,*,*,をめぐります,ヲメグリマス,ヲメグリマス
につれ,323,323,3032,助詞,格助詞,連語,*,*,*,につれ,ニツレ,ニツレ
により,331,331,2091,助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
につれて,324,324,4186,助詞,格助詞,連語,*,*,*,につれて,ニツレテ,ニツレテ
にわたり,336,336,2455,助詞,格助詞,連語,*,*,*,にわたり,ニワタリ,ニワタリ
を通しまして,371,371,3025,助詞,格助詞,連語,*,*,*,を通しまして,ヲトオシマシテ,ヲトーシマシテ
とかいう,297,297,2997,助詞,格助詞,連語,*,*,*,とかいう,トカイウ,トカユウ
において,309,309,2205,助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
をもちまして,367,367,3025,助詞,格助詞,連語,*,*,*,をもちまして,ヲモチマシテ,ヲモチマシテ
を通じまして,374,374,3025,助詞,格助詞,連語,*,*,*,を通じまして,ヲツウジマシテ,ヲツージマシテ
としましたら,300,300,3025,助詞,格助詞,連語,*,*,*,としましたら,トシマシタラ,トシマシタラ
に従う,353,353,3389,助詞,格助詞,連語,*,*,*,に従う,ニシタガウ,ニシタガウ
に際し,360,360,2319,助詞,格助詞,連語,*,*,*,に際し,ニサイシ,ニサイシ
を通じて,373,373,-63,助詞,格助詞,連語,*,*,*,を通じて,ヲツウジテ,ヲツージテ
によって,330,330,1697,助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
にあたりまして,306,306,3025,助詞,格助詞,連語,*,*,*,にあたりまして,ニアタリマシテ,ニアタリマシテ
に際して,361,361,3723,助詞,格助詞,連語,*,*,*,に際して,ニサイシテ,ニサイシテ
とともに,302,302,722,助詞,格助詞,連語,*,*,*,とともに,トトモニ,トトモニ
